Field Number,X (mm),Y (mm),X image (px),Y image (px)
1,0.2,0.0,-249.60088133333332,-1.4962029533333334
2,0.4,0.0,-494.41736,-1.1758549966666667
3,0.6,0.0,-727.2075666666668,-0.6692092033333332
4,0.2,-0.2,-249.04175266666664,245.985379
5,0.4,-0.2,-493.0527,243.82760566666664
6,0.2,-0.4,-246.73665833333334,489.29248
7,0.4,-0.4,-487.67839,483.88672333333335
8,0.2,0.2,-248.65842266666667,-248.21263333333332
9,0.4,0.2,-492.3248466666667,-245.44644300000002
10,0.2,0.4,-246.01714500000003,-489.35671333333335
11,0.4,0.4,-486.3336266666667,-483.4587633333333
12,-0.2,0.0,249.58928133333333,-1.4962122033333334
13,-0.4,0.0,494.4062433333333,-1.1758727400000002
14,-0.6,0.0,727.1974433333334,-0.6692336599999998
15,-0.2,-0.2,249.0301893333333,245.98548133333335
16,-0.4,-0.2,493.04163666666665,243.8278293333333
17,-0.2,-0.4,246.72523133333334,489.2927133333333
18,-0.4,-0.4,487.66751666666664,483.88723333333337
19,-0.2,0.2,248.6468746666667,-248.21275300000002
20,-0.4,0.2,492.31379666666663,-245.4467
21,-0.2,0.4,246.00574733333335,-489.35696
22,-0.4,0.4,486.3227733333334,-483.45929666666666
23,0.0,0.0,-0.005872826666666667,-1.6054693533333333
24,0.0,0.2,-0.0058488251,-249.06267
25,0.0,0.4,-0.005780650166666666,-491.15913
26,0.0,0.6,-0.005652240233333334,-721.13018
27,0.0,-0.2,-0.005857120666666667,246.626771
28,0.0,-0.4,-0.0057962571000000004,490.92129666666665
29,0.0,-0.6,-0.0056723557,724.0323633333333
