Field Number,X (mm),Y (mm),X image (px),Y image (px)
1,0.0,0.0,0.006258897900000001,-1.4017196233333333
2,0.0,0.25,0.0061164769999999995,292.071053
3,0.0,0.5,0.010147422133333334,580.8563633333333
4,0.14694631307311828,0.20225424859373686,173.391137,235.81713466666665
5,0.29389262614623657,0.4045084971874737,343.9087,469.6581933333334
6,0.23776412907378838,0.07725424859373686,280.40381733333334,89.24163233333333
7,0.47552825814757677,0.15450849718747373,555.8705533333333,178.65704433333335
8,0.2377641290737884,-0.07725424859373684,280.2356273333333,-91.64590933333334
9,0.4755282581475768,-0.15450849718747367,555.259,-179.92303433333333
10,0.1469463130731183,-0.20225424859373684,173.11989333333335,-237.76660800000002
11,0.2938926261462366,-0.40450849718747367,342.9353633333333,-469.2679666666666
12,3.061616997868383e-17,-0.25,0.0061108782,-293.53094533333336
13,6.123233995736766e-17,-0.5,0.006186621033333332,-579.6504466666667
14,-0.14694631307311826,-0.20225424859373686,-173.10763433333332,-237.76640133333333
15,-0.2938926261462365,-0.4045084971874737,-342.92284,-469.26711
16,-0.23776412907378838,-0.07725424859373689,-280.22330900000003,-91.64579133333335
17,-0.47552825814757677,-0.15450849718747378,-555.2462866666666,-179.922538
18,-0.2377641290737884,0.07725424859373681,-280.39149066666664,89.24148533333333
19,-0.4755282581475768,0.15450849718747361,-555.8578233333334,178.656488
20,-0.14694631307311834,0.20225424859373684,-173.37885666666668,235.81690933333334
21,-0.2938926261462367,0.40450849718747367,-343.89614,469.65729000000005
